turkish,english
"Uzun boyu, ince yapısı ve doğu Avrupalılara mahsus melankolik bakışlarıyla, bir ressam olmanın tüm keyfini sürmeye hazırla-nıyordu ki savaş patladı.","He was a tall, good-looking young man, which together with the melancholic look in his eyes enabled him to have all the fun that went with being an artist."
"Bizlerin âlemini, tıpkı nakşettiğimiz kitaplardaki resimleri asırlar sonra seyredecekler gibi, uzaktan çok fazla anlamadan, ama yakınlaşmak ve anlamak isteyip bu sabrı gösteremeden seyredenler, soğuk Hazine odasında resimlere bakarken hissettiğim utanç ve mutluluğu, derin acıyı ve göz zevkini sezebilirler belki, ama bütünüyle anlayamazlar.","Hundreds of years hence, men looking at our world through the illustrations we’ve made won’t understand anything. Desiring to take a closer look, yet lacking the patience, they might feel the embarrassment, the joy, the deep pain and pleasure of observation I now feel as I examine pictures in this freezing Treasury — but they’ll never truly know."
On milyon birbirine geçmiş hikâyeden oluşan açık bir kitap.,It is an open book of ten million scrambled stories.
"Mor gömleği giyerken üşüdüm, ürperdim, benimle birlikte mumun alevi de ipince titredi.","As I was trying it on under the purple blouse, I felt a chill; I shuddered, and the candle flame trembled with me."
"Büyükdere, rakı ve ben, ama Hayri Beyefendi olarak ben.","Raki, Buyukdere, and I, and the “I” in this equation was a beyefendi."
"Böylece, yıllar sonra birlikte Padişah'a yapacağımız şeyi, ilk önce ben ona yaptım; rüyalarımızdan ikimizin geleceği için sonuçlar çıkardım: Hastalık bir kere bulaştı mı, tıpkı vebada olduğu gibi, insanın bilimden de kaçamayacağı açık bir şeydi; hastalığın Hoca'ya bulaştığını da söylemek zor değildi, ama gene de Hoca'nın rüyalarını merak ediyordu insan!","Thus I first practised on him what we would do together years later with the sultan; I derived conclusions from our dreams about both of our futures: it was obvious that once infected by a fascination with science, a man could no more escape it than he could the plague; it wasn’t hard to say that this addiction had taken hold of Hoja, but still I wondered about Hoja’s dreams!"
"Haydi gelin benimle, gümrüğe gidelim.""","“Now, please be kind enough to take me to customs.”"
"Onu da enstitümüzde iş arayan tavsiyesiz bir genç, müesseseye girmek için başka çare kalmadığını anlayınca, hemen o gün istedi.","Then there was a young man who came to us seeking employment but without any references; realizing there was but one way to join our set, he promptly proposed to my sister-in-law."
Getirdikleri bir başkası da aynı şeyleri söyleyince Hoca kıpkırmızı kesildi.,"When the next one they brought said the same things, Hoja flushed bright red."
"Muhlis boşboğazlık etmiş olmalı?""",It must have been Muhlis who let the cat out of the bag.”
Durmuş Ali emmi öyle söylerdi.,"""Uncle Durmush Ali told me so."
"Fakat ben, aile meselelerine karışmak istemiyordum.","“I will not interfere in family affairs,” I said."
Bu gidişle öyle olacak.,"""If it goes on like this, you will,"" Memed assured her."
"""Ne var ya!""","""What?!!!"""
Bu hareket Mustafa'yı hazırlıksız yakalamıştı.,This gesture caught Mustafa off guard.
"Hayata bağlayıcı, yeni doğan bir günde bir daha dönemeyeceği bir yola çıkmasını engelleyen birkaç anı... Bu anların karşılığı asla ödenemezdi.",A couple of reminiscences that linked him to life and prevented him from setting off on a journey of no return; he could never compensate for these actions.
"Daha o küçücük yaşta kendini kâfir gibi hissetmenin tadını alınca, bir yetişkin olarak da kâfirliği üstlenmekte pek bir mahsur görmemişti zamanla.","Having felt like an infidel at such an early age, she saw no reason why she shouldn't do so as an adult."
"Burası, merkez binanın ikinci katında vaktiyle talebeye yatakhane vazifesi görmüştü.","They were on the second floor of the large, low central building and used to be dormitories for the pupils of the Agricultural School."
"Fakat hayret, cazın etrafında büsbütün başka bir manzara beni bekliyordu.","But to my surprise, I discovered a new scene unfolding around the jazz group in the other room."
Boğaz vapuruna epeyce vakit vardı.,Time remained before the second ferry that would take them up the Bosphorus.
"""Ölümden sonra bir uzun yolculuk var, bu yüzden ölmekten korkmuyorum.","“We take a long journey after death, so I’m not afraid of dying."
Eminönü’nde Doktor Ramiz’in sesini duydum.,Dr. Ramiz finally spoke when we reached Eminonu.
- O da niçin? diye sordum.,“And just why is that?” I asked.
Bununla beraber hayatımın bir safhasında ufak bir eser yazmağa muvaffak oldum.,Nevertheless there was a time in my life when I succeeded in writing a small book.
"Fazlıpaşa’daki evimizin önünde Türk ve Hıristiyan çocukları birbirlerine girdiği zaman, iki tarafın anneleri de gelmiş ve onları ayırmıştı. Ondan sonra da, bu kavgalar durmuştu.","Two packs of children, Turks and Christians, stood facing each other, and among them stood fur women, two of them Turkish and two Christians, all four poorly dressed, all fraternizing and helping to pacify their own pack, and all in the most motherly language begging the other side as well as their own not to fight."
"Hayatın bir yerlerine, bir şekilde dokunabilmek için... Tüm ilişkiler, dahası aşklar gibi, bir yerlere yeniden koymak istediğimiz sözcüklerimiz, seslenişlerimiz, gizli konuşmalarımız da birbirinin içindeydi, başka sözcükler, seslenişler, o gizli konuşmalar yaşanmadan hayat bulamıyordu ne de olsa... Gelgelelim ben, tüm bu hazırlıklara, alınan ve verilen sözlere karşın farklı bir hikâyenin yoluna çıkmıştım. Böylesi bir ihanete hakkım yoktu.","with a view to touching certain corners of life. Our words, invocations, and secret conversations were, like all relationships (like love for that matter), desired to be reinstated intricately, since new words and invocations did not come unless those secret conversations were held. Now, I’d taken up my pen to commit to paper a story unique in its genre despite all the preparations and the promises made and honored to others."
"""Anne ne kadar sıcaksın,"" dedi, sırtını göğüslerime yasladı.","“You’re so warm, Mama,” he interrupted, leaning back onto my bosom."
Sonra bir eli odasının kapısının tokmağında:,With his hand on the doorknob he asked:
Bu gece Matt Hassinger'le yaşadığı bu vasat randevu zaten hissettiği bir açmazı daha net görmesine yaramıştı.,The lackluster date with Matt Hassinger had only served to reinforce this feeling.
"Memur şaşkın şaşkın baktı Tarık'a, hiçbir şey söylemeden aldı anahtarı. Belli ki halen şoktaydı adam.",The receptionist looked confused. He stared briefly at Tarık and took the key without saying a word; it was obvious that he was still in shock.
Eksik etme kapıdan kurşunu.,"Don't stop firing into the open doorway."""
"Bulaşık yıkamak, oda toplamak, ütü yapmak, hele alışveriş büyük bir yüktü sırtında.","Now, dishwashing, room-cleaning, ironing, and especially shopping were a huge burden for him."
"İyilik saçan, aydınlık bir yüzü, başının etrafında mor, pembe ve eflatun tonlarında bir hale vardı; ince, zarif bir boyun, boynunun bitip teknik olarak gövdesinin başlaması gereken yerdeyse sadece duman vardı.","She had a kind, gleaming lace, a corona around her head in the hues of plum, pink, and purple, a thin, elegant neck, and nothing other than a wisp of smoke where her neck ended and, technically, her torso had to start."
Hulâsa bu oda Abdüsselâm Beyin kalbi gibi bir şeydi.,"The room was Abdusselam Bey’s heart, in every sense of the word."
Cenaze bugün kalkıyor...,The funeral and obsequies are today . . .”
Hoca balıkları akıllı bulduğunu söylemiş.,Hoja had said he found the fish to be intelligent.
"Bir an içinizden geçeni okudum. “Halamla barıştım, işlerim de oldukça iyi” dediniz… “Birkaç yıl için hiç olmazsa her şey yolunda gidebilir.",I read what was going through your mind a few minutes ago: ‘I’ve made peace with my aunt and things are working out well.
"Bilmek, başka çözümleri görmeyi, başka çözümlere inanmayı da getiriyordu ne de olsa beraberinde.","After all, the act of knowing also entailed attempts at solving other problems as well as lending credence to them."
Herkesin kızı kaçar.,Any girl can elope.
"Belki lâzım olurum, diye geldim.",I thought I'd better
"Delikanlı uzun, kalın bir ip bulur, tepedeki en kalın ağaca bağlar. Şahin yuvasına doğru sarkar.","So the youth tied a thick rope to the stoutest tree on the summit and climbed down, thus reaching the"
"""Mehpare, şu fincana bir göz atsana, bakalım feraha çıkacak mıyız yakında?""","“Mehpare, would you mind? I do so hope brighter days are ahead.”"
Kızı vuracak!,He’s going to shoot her!
"Sora sora, okulun çok da uzak olmayan yolunu buldu ve heyecandan titreyen bacaklarıyla bahçe kapısından içeri girdi.","Asking for directions along the way, she soon found the right street and pushed open the garden gate."
"O ‘ablalık’ dönemleri düşünüldüğünde, hem bu ‘başarıyla’, hem de kendisiyle gurur duymak için o kadar çok nedeni vardı ki bu durumda...","If one considers his period of matronship he was justified, one can say, in feeling proud of his own achievements and his success in life."
"Boğaziçi'nde bir büyük orman ya da bir küçük körfez yoktur ki, Çamlıca’nın gözü önünde olmasın.",There is not a big forest or a small gulf in the Bosphorus that does not have a view under Qamhca's gaze!
Eve dönüp kapıyı çalmış ama kilitliymiş.,"She came home and knocked on the door, but it was locked."
"Aç mısın?""",Are you hungry?”
"Ruh, kendi eski gövdesinin mezarda kanlar ve çürümüş sular içindeki acıklı halini görünce kederlenip, ""Zavallı gövde, zavallı sevgili eski vücudum,"" diye ağlamaklı olur, yas tutarmış. Böylece, bir süre Zarif Efendi'nin acı sonunu, kuyunun dibindeki halini, ruhunun belki de onu mezarda değil de kuyuda ziyarete geldiğini ve tabii çok üzüldüğünü düşündüm.","Upon beholding the piteous state of its body, bloodied, decomposing and oozing, as it rested in the grave, the soul would sorrowfully, tearfully and mournfully grieve, “Lo, my miserable mortal coil, my dear wretched old body.” At once, I thought of Elegant Effendi’s bitter end at the bottom of the well, and how upset his soul naturally must have been upon visiting, and finding his body not at his grave, but in the well."
Güzel piyano ve banjo çalardım.,I played the piano and the banjo too.
Sen doğru eve git.,Go straight home.
Hemen yatar mısınız?,"Will you go to sleep at once?"""
diye sordu Asya.,Asya wanted to know
Onun için onlar İstanbul’a geçeceklerdi.,"For this reason, they were to move to Istanbul proper."
"Tarlada, yerdeki sansarla, gökteki çaylağın saldırıları arasına sıkışan zavallı fare kurtuluşu avcının kapanma yakalanmış bir zavallı kedide bulur.","Out in the fields, a poor mouse, caught between the attacks of a marten on the ground and a hawk in the air, finds his salvation in an unfortunate cat caught in a hunter’s trap."
"Duş odasından çıkışta, buhar makinesinden çıkmış, nemli giysilerini yeniden giydiler ve dikenli tel taşımaya gittiler.","When they got out of the shower room, they were given back their damp clothes from the steam machine and sent back to carrying barbed wire."
"Sabahları balıkçıyla birlikte denize açılıyor, akşamüstü dönüyordum.",I’d go to sea with the fisherman every morning and return in the evening.
"Ne biçim bir insandı bu İnönü, hiç mi yorulmazdı, uykusu gelmezdi.",What sort of man was this Inönü? Didn’t he ever get tired? Didn’t he sleep?
"Karısı da Evelyn adında sevimli bir Fransız kızıydı. Ferit'le üniversitede tanışmışlar, birkaç yıl flört ettikten sonra, al-152 ti ay evvel evlenmişlerdi.","His wife, Evelyn, was a very nice French girl whom Ferit had met at the university; they had known each other for about six years and had finally gotten married six months ago."
Size bir ana olarak yalvarıyorum.,"As a mother, I’m begging you."
"Birinci Dünya Sava-şı'nın başında sadece yirmili yaşlarında olanları alacaklarını ilan etmişlerdi ama savaş hızını aldıktan sonra otuz, hatta kırklarında olanları da askere çağırmamışlar mıydı?","At the beginning of the First World War, they had announced they would solely recruit those in their early twenties, but once the war had gathered speed, those in their thirties and even forties had also been conscripted."
"Sonuçta, biraz o Viyanalı kadın, biraz, ömrünü o çılgın davetlerin, baloların birinde tüketmek, noktalamak istediğini söyleyen o eski ‘konaklı’ dul kadın, biraz da dönemin ünlü, birçok erkeği peşinden koşturan şarkıcıları, Henri’nin tükenmezmiş gibi görünen servetini, bu küçük, yalancı utkuların sarhoşluğuyla, son kuruşuna kadar ‘harcanmasına’, bir süre sonra da, yolda rastladığı eski dostlarından, uzak akrabalarından, dahası bir zamanlar yanında çalıştırdığı memurlarından, küçük hayalleri için, yaşamak için, daha da önemlisi karnını doyurabilmek için, hiçbir zaman ödemeyeceği borç paralar istemesine yol açacaktı.","That Viennese woman, that ancient ‘lady of the mansions,’ a widow whose aspirations had been to crown her life with revelries and balls and whose songs attracted innumerable philanderers, would cause Henry’s ostensibly inexhaustible wealth to be squandered in a haze of delight brought about by sham victories, paving the way in due course for loans borrowed from old friends whenever he chanced to run into them, and from his distant relatives, even from the clerks who had once been in his employ, with a view to pandering to his whims and saving himself from starvation, loans which were never to be paid back."
"""Aram sınıf gezisine gitmiş,"" dedi Leman.",“So Aram is off on a school trip.
"Ali Bey terlikleri giydikten, geceliğinin kendi parçasından yapılmış ve arkasına eklenmiş kuşağını bağladıktan sonra Mehpeyker sağ elini yarı koltu^ına girer, yan kuracaklar gibi","After Ali Bey put on the slippers and tied the belt made of the night robe-cloth, Mahpeyker extended her right hand on her darling’s left shoulder partly as if she was going into his armpit, and partly as if she was hugging him."
Fakat torununu almak için Hak dinini kabul ettim.,But I have accepted the true faith to marry your granddaughter.
Allahım sen bana yardım et.,My beloved Allah please help me.
"""Konsolos'u tanıyorum.""",“I do know the consul.”
- Bana müsbet bir işimiz yok gibi geliyor…,“It’s just that we don’t seem to be engaged in meaningful activity.”
Hem bunu öğrenmek çok üzecekti kendisini.,"Moreover, he would be dispirited to learn about it."
"Bir hikâyede yitirdiğiniz bir insanı yeniden arayışınız, aramayı göze alışınız demekti bu biraz da.","It was, in a way, your fresh pursuit of yourself that you had lost in a story."
"""Ben iki tane yerim,"" dedi şişmanca, kocaman gözlü küçük oğlan.","“I’ll have two,” said a plump little boy with enormous eyes."
"""Allaha şükür o safha çabuk atlatıldı.","""Thank God that stage was quickly over."
"Sırılsıklam oldu bile. Bu açıdan bakınca, yağmur da hüzün gibi bir şey galiba: tik başta, aman bana ilişmesin diye didinir sakınırsın, emniyetli ve kuru kalmak için elinden geleni yaparsın, ama baktın ki olmuyor, baktın ki yağıyor üzerine dört bir koldan, gark olursun ta dibine kadar ve bir kez bu kadar battın mı içine, ha bir damla eksik ha bir damla fazla ne fark eder. Yağmur da hüzün gibi bir şey, yakalandın mı bir kez, azı çoğu yok artık.","That was the one thing about the rain that likened it to sorrow: You did your best to remain untouched, safe and dry, but if and when you failed, there came a point in which you started seeing the problem less in"
"""Annem terzi Fazıla Hanım'a provaya gitti baba,"" diye seslendi Sabiha mutfaktan, ""kolay kolay dönemez.","“Mother’s gone to her dressmaker Fazıla Hanım,” Sabiha shouted from the kitchen."
Bir masal ya da yalnızca bir isyan...,A tale or merely a revolt . . .
"Rakım’ın gözleri korkuyla açılmış, olduğu yerde mıhlanmış, kalmıştı.","The man’s goggle eyes, turning round, presently caught sight of Rakim."
"""Nedir bunlar?""",“And what would they be?”
"Bu akşamı, kendisine yemekten önce, içimdeki o düşten söz eden Jülyet’e borçluydum.",I owed that evening to Juliet who had mentioned the dream I held before dinner.
İpler vücuduna geçtikçe yüzünde tebessümü artıyordu.,"As the ropes cut into his flesh, the smile on his face grew more intense."
"O an içimden gelen bir ilhamla çok hızlı ve kararlı hareketlerle noktaları güzel ve zarif bir şekilde birleştirdim ki ben bu atın karnını, güzel boynunu, burnunu, sağrısını çizerken sevgiyle içimde hissettim.","With an inspiration that suddenly welled up within me, I elegantly connected the dots with quick and decisive strokes, such that as I was drawing the horse’s belly, graceful neck, nose and rump, I lovingly felt the horse within me."
diye onu uyardı.,"""he said reproachfully."
"""Alzheimer düşünüldüğü kadar nahoş değil.","""Alzheimer's is not as terrible as it sounds."
"Kocama danışmama gerek yok, o ne istersem yapmaya hazır zaten, eksik olmasın,"" dedi Mehpare.","I don’t need to ask my husband. He’ll accept my decision, bless him.”"
Şahıs biliyor mu ben kimim?..,The individual knows not who I am?
— Paşa oğlu olduğuna şükret.,“Thank the Lord five times a day that you are a son of the rich.
"Fakat neye gideceğiz, onu söyle...","But where are we going, just tell me that ."
"""Annemi bırakamam.""",“I’m not leaving her.”
"Bütün bunları, ta küçük kardeşimin sırtındaki iri bene kadar, ona daha önce de anlatmış olduğumu, anlattıkça hatırlıyordum.","As I spoke I recalled that I had told him all of these things before, down to the large mole on my little brother’s back."
Hemen herkese her şeyi anlatıyordum ve işin garibi hangi dilde hitap edilse beni derhal anlayan bir tercüman yanı başımda mırıldanıyordu.,"I told almost everyone in attendance almost everything I knew, and whenever I found myself with someone who spoke a foreign language, I found a translator muttering mysteriously just behind me."
"— Çingene demek, fenâ kadın, demektir, diyordu.","“She was the only one of them who was a friend, a human being."
‘Bir saçmalık bu... Bir saçmalık... Birçok ilişkimizde olduğu gibi...’ diyebilirdi örneğin bu durumda Jülyet.,"“This is absurd! The height of nonsense! Just like in the majority of our relationships,” Juliet might have said."
"Önce ata bakar nakkaş, sonra aklındakini hemen kâğıda çizer.","First, the illustrator looks at the horse, then he quickly transfers whatever rests in his mind to the page."
"Bizimle oturur musun?""",Would you agree to live with us?”
"Hilmi Bey’in veda ziyafetinde köpüklü bir şey içirmişler, pek keyfine gitmiş, hep onu söylüyor. Zâti Bey çağırıp tekdir ettikten sonra çenesini bıçak açmıyordu.",Tewfik has been so gay since that parting dinner of Hilmi Bey’s. They gave him fizzy bubbly stuff to drink. He has been in good spirits ever since.
Piyano durdu.,He stopped.
"""O nasıl söz efendim,"" dedi Macit içtenlikle, ""burası da sizin eviniz.","“I won’t hear of it,” Macit said sincerely."
Sessizce düşündüm: 1.,I mulled this over silently: 1.
"dedi. Ben yurdumu yuvamı, evimi barkımı bırakır nereye giderim?","""If I leave my village and my home, where do I go?"
Soğukta tir tir titreyerek kalakaldım.,"I stood stunned, atremble in the cold."
Her şeyde garip bir mazi kokusu vardı.,The peculiar redolence of the historic lingered everywhere.
"Mezarlıktan, içlerine bir korku, bir ürperti düşmüştü.",It had filled them with uneasiness and fear.
"Buna rağmen, Nuran’la uzun uzun konuştular.",He and Nuran still spoke at length.
"Zenginler de artmış mıydı, yoksa bana mı öyle geliyordu.","There were more wealthy people, or so it seemed to me."
"Ardından ekledi: ""Keşke bilmeseydim bildiklerimi.""","""I wish I didn't know the things I know."""
Kendini bir uçurumdan atmak...,Throwing oneself headlong down a chasm . . .
Bir ışık yanabilecek miydi onun da hayatına bir gün?,Would his life ever brighten again?
"""Günlerce yol almışlar, her yer cumbul cumbul şuymuş.","""For days on end they sailed and sailed, it was all water everywhere."
"Bu hikâyede kimin nerede kaldığı, kimin ne yapıp ne yapamayacağı belliydi sonuçta.","After all, who had stayed there and who was capable of what was evident."
İhsan için Suat meselesi basitti:,"For İhsan, the enigma of Suad was simple: “He was born with a rebellious streak."
Düşler yaşiyordu şu anda.,Only its dreams were stirring with life at this hour.
"“Hasta bir yol...”, bir nevi cüzzama yakalanmış, onun tarafından iki yana sıralanmış evlerin duvarına kadar yer yer oyulan bir yol...","An afflicted road, a road that had succumbed to leprosy of sorts, which had putrefied it in places up to the walls of the houses aligned on either side."
Alelâde kendine güvenme hissi de değildi.,"It wasn’t just a surge of self-confidence, which under normal circumstances would occur naturally."
"Iraz, saçlarını yolarak, çığrışarak önde, köylüler arkasında tarlaya geldiler.","Iraz went ahead of them, tearing her hair and sobbing, with all the villagers behind her."
"""Aman ne kadar dikkatsizsin abla, bir sınıf gezisi mi ne varmış, gideceğim demişti ya geçenlerde.""","“You don’t care about or notice anything, do you? He’s off on a class trip. I’m certain I mentioned it the other day.”"
"Öneri çekingenlikle, sorulması gereken bir soruyla karşılanmıştı.",The suggestion was met with some diffidence and a hint of questioning.
"Aynı duyguyu, aynı umutla yavaş yavaş beslemişti.",It had nourished the same emotion with the same hope.
"Konuşmalarımız, tüm hesaplaşmalarda olduğu gibi, bizi beklemediğimiz yerlere çağırabilirdi.",Our talks could well take us to unpredictable places just like in the case of similar settlings of outstanding accounts.
Rabia gülüyordu.,Rabia had laughed at her fancies.
"— Zararı yok, çıkarma ayakkabılarını, dedi.",“You needn’t do that - it does not matter.”
"Ağır, hüzünlü bir şarkıydı, hele ki arkada yükselen klarinet ve içi içine sığmayan darbuka tempoyu habire yükseltmese.","It flowed slowly, forlornly, while the tempo picked up with a distinctive rise ofthe clarinet and the hard-to-contain darbuka in the background."
Hiç ondan bahsetmiyordu.,He had made absolutely no mention of it.
Geceyi bir başka yerde geçirmek niyetiyle kapıdan çıkmak için acele etti.,She walked quickly towards the door with an intention to spend the night in another place.
"Leman'la Si-tare'nin, İstanbul'a dönmelerinden birkaç gün önce de bir akşamüstü, Raif Bey'le birlikte evlerine gelerek, Hilmi Bey'den Si-tare'yi istedi.","Just a few days before mother and daughter were to return to Istanbul, he came to the house with Raif Bey and formally asked for Sitare’s hand in marriage."
XII,XII
Bu teklifler üzerine iki gün düşünmek için müsaade istedim.,But I asked him for two days in which to think it over.
"Ona doğruyu, iki adamı öldürdüğümü söyledim.","I told him the truth, that I’d killed two men.”"
"Binbaşı Nâzım’ın büyük beyaz atıyla yarışa girmek, onu fazla heyecana düşürmüştü.",The presence of Major Nazim’s Arab steed with whom he had had a great race the day before excited him tremendously.
Kapıdan kadınlar rahatça geçiyor fakat erkekler kimlik göstermek zorunda kalıyorlardı.,"The women were passing straight through, but the men had to produce identity papers."
Feride Teyze'ye gelince okulda Almancayı seçmişti.,"place, choosing German at school."
Mümtaz ona baktıkça şaşırıyordu:,"As Mümtaz regarded Tevfik, his admiration grew."
Çocukcağız bu haliyle çılgın biri tarafından süslenmiş küçük bir noel ağacına benziyordu.,She looked like a dwarf Christmas tree decorated by someone in a state of frenzy.
"Durmuş Ali emmine senin yerini sordular. Bilmem deyince, fıkarayı bir ettiler, bir ettiler ki, daha yatıyor. O günden beri yataktan çıkamadı.","They asked Durmush Ali where your lair is, and when he answered he didn't know they set about him so harshly that he's still bedridden."
"Şimdi o kısrak gibi, sanki gerçek bir kısrağın resmi gibi resmedilmesi günah mı?","Now, the question arises: Is it sinful to be depicted as that mare had been, that is, like a real mare?"
"Ayol bizler evlatlarıyız, elbette bizim canımız onunkinden çok daha fazla yandı.",We’re his daughters!
"Mozes de kendisini tanıtmıştı. ‘Öğrenimini’ göremediği Almancayı anadili bilen, hayatından çok önemli bir parçayı Odessa’da bırakmış bir ‘başka’ Yahudi olarak... Tanımlanamayan, adı konamayan bir ‘yer’e ilerlenmişti sanırım o anda.","Moses in his turn had introduced himself; as a Jew, who, although he had not had a formal education in German, had considered it his vernacular; he was another Jew who had had to part with an important phase of his life in Odessa. It was as though they had been making headway toward a certain place, indescribable and nameless."
Hikâyenin yolunu biraz da bu yüzden gizlemeye çalıştığım bir heyecanla açmaya çalışmıştım.,I had tried to reveal this aspect of the story which gave me a thrill I tried to conceal partly because of this.
"""Bütün Venedik. Parası ve gücü olanlar, hem kendi hayatlarına bir tanık, bir hatıra olsun diye portrelerini yaptırıyorlardı, hem de servetlerinin, güçlerinin, iktidarlarının işaretleri olarak. Hep orada, karşımızda durmak, var olduklarını birbirlerine duyurmak, herkesten ayrı ve değişik olduklarını ima etmek için.""","“In all of Venice, rich and influential men wanted their portraits painted as a symbol, a memento of their lives and a sign of their riches, power and influence — so they might always be there, standing before us, announcing their existence, nay, their individuality and distinction.”"
Ama mevsimler yine de birbirini andırıyor...” diye eklemişti sonra...,But seasons look alike . . . ” he added.
"Bunlar arasında, Fransız Direniş Örgütü’nden, ‘Rezistans’tan bir akşam gelen ‘Le cochon est constippé’ (Domuz kabız oldu) mesajını özellikle unutamamıştı.",Among the messages he had especially remembered was one transmitted by the French Resistance Organization: Le cochon est constipé.
"Bu esere başladığım zamanki ruh hâlinde olsaydım bütün tenkitlere memnun olur, “Oh Yârabbim!","Had I finished the book in my original frame of mind, I might have taken pleasure in their criticism. “Oh, thank God!” I would have cried."
"Ne kızımla oynadığı zeybeği, ne Halit Ayarcı’dan gördüğü ikramı, ne de Ahmet Zamanî’nin kahirini ziyaret ettiğimiz gün kendisine Çamlıca’da çektiğim yoğurtlu kebap ziyafetini hiç unutmuyordu.","He never forgot his zeybek with my daughter, or Halit Ayarci’s kind attention, or the yogurt kebab we feasted upon in Qamlica on the day we visited the tomb of Ahmet the Timely."
"Başka sorular başka hayatların kapısını açabilir, bambaşka hikâyelerin yolunu gösterebilirdi bu durumda... Schwartz, asıl sorulması gereken sorularla bu soruların gerçek yanıtlarını, tüm ‘yitirilenlere’ karşın biliyordu bence.","Under such circumstances, other questions might well open the door to other lives and indicate the path that would lead to other stories . . . I’m inclined to say that Schwartz did know the essential questions that should be asked and the real answers to them, despite all that had been seemingly mislaid."
"Hoca’nın somurtarak geçirdiği o güzelim saatlerin sonunda Padişah elindeki kurbağa resimlerine bakarak bana şöyle dedi: ""Hikâyeleri senin uydurduğundan zaten şüpheleniyordum.","At the end of those serene hours that Hoja frowned his way through, the sultan looked at the pictures of frogs in his hand and said ‘I had always suspected it was you who made up his stories."
"Kocasını o kadar çok sevecekti ki Sada, babasının onu dönem ortasında okuldan aldığına ne kadar üzüldüğünü unutup gidecekti. * Piknik. 107",So in love was the bride with her husband that she had long since forgotten all about school.
"Yine de, ama tatsız ve beklenmedik bir baskına, hatta bir laf atmaya, çirkin bir söze karşı her an tetikteydim.","Still, I was anxious, maintaining my vigil against a sudden raid, or even a word of vulgar heckling."
"Timur zamanından tâ Kanuni Sultan Süleyman'a kadar çeşit çeşit devletin tahtında oturmuş yüzlerce şalım, kralın, padişahın, sultanin, ceylanlar, aslanlar, tavşanlar arasında mutluluk ve neşeyle avlanışını seyrettik.","We watched as hundreds of shahs, kings, sultans and khans — who’d ruled from the thrones of various kingdoms and empires from the time of Tamerlane to Sultan Süleyman the Magnificent — happily and excitedly hunted gazelles, lions and rabbits."
"O kadar gürültülüydü ki istasyon, Tarık'ın, ""İçeri geliyorum,"" dediğini duymadı ama dudaklarından okudu.","Because of the station noises, she couldn’t hear him say, “I’m coming in,” but she read his lips."
"Böylesi bir soruya, ancak o hayale duyduğumuz yakınlık oranında sahip çıkabilirdik elbet.","Such a question could only be answered in proportion to our proximity to those dreams, of course."
Onun orada bir hayatı vardı.,Apparently she had a life of her own there.
"Tam adını koymadığı bir nevi ümitsizliğin verdiği pervasızlıkla gözleri genç kadının yüzünde, ellerinde dolaşıyordu.",His eyes roamed over her face and hands with a forwardness fostered by a kind of indescribable despair.
O kadar garip bir şey ki.,It’s so bizarre.
Yörüğün merhabasını bile duymadı. Gözü çadırın içinde.,"All eyes, he did not even hear the nomad's greetings."
"Sonuna doğru birkaç yaprakta muhtelif ellerle, daülfilfilli, kakuleli, raventli birçok ilâç yazılıydı.","Toward the end, on a few leaves, in various hands, appeared a number of remedies calling for black pepper, cardamom, rhubarb, and the like."
"Sabahat'ın kimseyi görecek gözü yok,"" dedi Suat, her zamanki karamsarlığı ile, ""annemi boşuna ümitlendirmeden önce, deli kardeşine bir sor bakalım, tanışmak istiyor mu?""","Instead of raising Mother’s hopes, only to dash them later, why not approach Sabahat directly and ask her if she’s willing to meet this Ekmel of yours?”"
"Tevkifhanede iken yanı başımdaki odada yatan kalantor bir Yahudinin Lizbon’da çürüğe çıkarılmış bir gemiyi Benderbuşirli bir İranlıya sattığını, hattâ komisyonculuk bedelini peşin olarak aldığını gardiyanlardan duymuştum.","When I was in the detention center, one of the guards told me about a well-heeled Jew in the adjacent cell who had sold to an Iranian from Benderbouchir a sunken ship salvaged in Lisbon; and the guard had even received his commission in advance."
"""Bak gördün mü Tarık Bey de istemiyor.""","“You see, Tarık disagrees too.”"
"""Uyumazsın elbette. Koynuna ihtiyarları alırsan, uyuyamazsın.""","“Of course you couldn’t, not with an old woman in your arms.”"
— Mehmed Çavuş!,“Mehemmed Chavoush!”
"""Bu kişi Aram olmasın sakın?"" diye sordu Suat.","“This person had better not be Aram,” Suat said."
"Kerimoğlu yerinden hiç kımıldamadı. Çadırın direği gibi sessiz, vurdumduymaz durup duruyordu. Durdu:",Kerimoghlu stood as silent and unshaken as his tent pole.
"Ama bunu o insanlardan, o hikâyelerde kalan o insanlardan istemeyeceğimi biliyordum.","I knew, however, that I couldn’t ask this of those people, from the heroes of those tales."
Doğrudan kayınpederin karşısına çıktım.,I went directly to the father-in-law.
O yine devam etti:,But still he carried on:
"Garsonlar da zamanla, kendilerine yetecek kadarını anlamışlar.","In the meantime, the waiters had understood, of course, what was going on, just so much as to satisfy their curiosity."
"Bizim ise elimizde adetten ve isimden başka bir şey, müspet bir şey yok.","As for us, we possess nothing besides habits and a name, we hold nothing definite in hand."
Hiçbir ihtirasın peşinde beyhude yere emek sarf etmedim.,I never wore myself out trying to fulfill doomed passions or ambitions.
